,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
10,Radhe Jat,2022-09-26 09:00:06+00:00,0,0,Twitter for Android,"The 2022 National Games of India, also known as Gujarat 2022, will be the 36th edition of the National Games of Ind… https://t.co/vXljAaxwlG"
11,Arvindsinh Vadher,2022-09-26 09:00:06+00:00,0,321,Twitter for Android,"RT @imtechnonitin: OPS Signature Campaign in Gujarat 
@bprawatNOPRUF 
@NOPRUF_INDIA @DrPankajECEngg @nopruf_Guj @nopruf_Guj @CHETAN48666747…"
12,Ravindra Mishra,2022-09-26 09:00:06+00:00,0,7586,Twitter for Android,"RT @RahulGandhi: Wishing one of India’s finest statesman, Dr Manmohan Singh ji a very happy birthday. 

His humility, dedication and contri…"
13,Pankaj Chavda,2022-09-26 09:00:06+00:00,0,21,Twitter for Android,"RT @Faiyazkothari7: ये लोग रोड़ पर सो रहे हैं ताकी बुढ़ापे में हम रोड़ पर न सोए।
@vijaykbandhu 
 @bprawatNOPRUF @NOPRUF_INDIA @DrPankajECEn…"
14,Mr. HARINDER SINGH DHALIWAL,2022-09-26 09:00:06+00:00,0,696,Twitter for Android,"RT @Planet_Deb: In most parts of India, for those condemned to India's wretched public health care system, god is the only hope. For Muslim…"
15,Jung🇯🇵🇻🇳🇹🇭🇺🇸FIRE世界転々米国株日本株,2022-09-26 09:00:06+00:00,0,0,Twitter Web App,"こち亀のインドーズ95億みたいだな

アップル、「iPhone14」をインドで製造へ
https://t.co/bRDHk2EGGU https://t.co/Iu7GYSKmje"
16,Ashok Kumar,2022-09-26 09:00:05+00:00,0,526,Twitter for Android,"RT @bharatjodo: Every small step helps unite India.

Join the #BharatJodoYatra today.
Change your profile picture &amp; become a part of this h…"
17,धुवा निर्मल - Dhuva Nirmal 🇮🇳,2022-09-26 09:00:05+00:00,0,0,Twitter for iPhone,"पिछले पांच वर्षों में भारत के रक्षा निर्यात में 334% की वृद्धि
 https://t.co/m0wIRD0awG

via NaMo App ⁦… https://t.co/y8myOaMWky"
18,PB,2022-09-26 09:00:05+00:00,0,244,Twitter for iPhone,"RT @suhasinih: Counter-view: India's voice has always counted, India has always mattered...because of its people."
19,Jayeshpatel16,2022-09-26 09:00:05+00:00,0,14,Twitter for Android,"RT @imtechnonitin: जो तूफ़ानों में पलते जा रहे हैं
वही दुनिया बदलते जा रहे हैं #onlyOPS @vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NOPRU…"
20,SONAL,2022-09-26 09:00:05+00:00,0,1,Twitter for Android,"RT @1SonalS: @omid9 Meanwhile in India, where women think Hijab is how they tell everyone they are empowered, undermining the deaths and st…"
21,Mohd Ahmed,2022-09-26 09:00:05+00:00,0,128,Twitter for Android,"RT @drshamamohd: The #Rupee hits a new record low, falling past 81.50 against the dollar today. If only @nsitharaman had worked as hard to…"
22,Sheelu,2022-09-26 09:00:05+00:00,0,294,Twitter for Android,"RT @Teamindia_fans: Show Your Support -
Who is the best PM of India❓

RT 🔁 for #ManmohanSingh 
Like ❤️ for #NarendraModi 

#HappyBdayModiji…"
23,NewsExpress,2022-09-26 09:00:04+00:00,0,0,Twitter Web App,India reports 4129 new cases and 20 deaths in last 24 hours https://t.co/9Rg9HWECyB via @newsexpress @COVIDNewsByMIB #coronavirus
24,CA RAJEEV GUPTA,2022-09-26 09:00:04+00:00,0,0,Twitter Web App,"Hindus who came to India after partition from Pakistan, their properties in Pakistan were occupied by the Muslims a… https://t.co/vetX9UiaVb"
25,Dr. AnilKumar Vundru,2022-09-26 09:00:04+00:00,0,16,Twitter for Android,"RT @shekhar_mande: Happy 81st Foundation Day to this great organization @CSIR_IND 

Widely acknowledged towards its significant contributio…"
26,NewsBytes हिन्दी,2022-09-26 09:00:04+00:00,0,0,TweetDeck,"महिंद्रा स्कॉर्पियो-N की डिलीवरी शुरू, पहले बैच में 25,000 लोगों को मिलेगी कार

#MahindraScorpioN 

https://t.co/Sx2jglx2fS"
27,𝗛𝘂𝗺𝗮𝗻 𝗙𝗶𝗿𝗲𝘄𝗮𝗹𝗹,2022-09-26 09:00:04+00:00,0,0,Cyber Tweet,Top 10 Best #Antivirus In India In 2023. – Inventiva https://t.co/a2iWUz0r0V
28,Mohammed Abbas Khan INC,2022-09-26 09:00:04+00:00,0,7586,Twitter for Android,"RT @RahulGandhi: Wishing one of India’s finest statesman, Dr Manmohan Singh ji a very happy birthday. 

His humility, dedication and contri…"
29,shahulhameed,2022-09-26 09:00:03+00:00,0,75,Twitter for Android,"RT @bbctamil: ""விளம்பரத்திற்காக தனக்கு தானே பெட்ரோல் குண்டு வீசிக் வீசிக்கொண்டது விசாரணையில் உறுதி செய்யப்பட்டால் யாராக இருந்தாலும் கடுமையா…"
30,Misri devi Gyan Niketan,2022-09-26 09:00:03+00:00,0,0,Twitter Web App,Navratri fasting helps us practice self-control and self-discipline. So let us promise that we shall only do what i… https://t.co/3iCcNZv2Jw
31,Arun Vats,2022-09-26 09:00:03+00:00,0,880,Twitter for Android,"RT @cogitoiam: Spirit of Cricket is like Secularism, something English won't follow themselves but made mandatory for brown shoulders.

Eng…"
32,Prince Kumar.,2022-09-26 09:00:03+00:00,0,1,Twitter for Android,"RT @KreatelyMedia: Hijab, Iran and India.. The Embrace of Islam by the Communists  https://t.co/JqTzroN9G2"
33,Kacper Knochowski,2022-09-26 09:00:03+00:00,0,0,Twitter for iPhone,"Apple Inc poinformowało, że najnowszego iPhona 14 wyprodukuje w 🇮🇳Indiach w związku z przeniesieniem części swojej… https://t.co/QmvmsBCyUE"
34,Liberal TV,2022-09-26 09:00:03+00:00,0,0,Twitter Web App,"Gujarat पहुंचे Amit Shah, नवरात्र का पहला दिन, Gandhinagar के Meldi माताजी मंदिर में की पूजा | Liberal TV… https://t.co/ALV7aPVIKy"
35,Sati Kharel,2022-09-26 09:00:03+00:00,0,107,Twitter for iPhone,"RT @real_knowledge_: India will be free from evils...!
                          @SaintRampalJiM 🌱 https://t.co/4L3vwRkaRU"
36,Indore Congress Sevadal,2022-09-26 09:00:03+00:00,0,62,Twitter for Android,"RT @CongressSevadal: .@INCIndia is a democratic political party, where all members have the equal rights.

President of Congress party is n…"
37,India.com (हिन्दी),2022-09-26 09:00:03+00:00,0,0,Twitter Web App,"कांग्रेस के संकट के बीच थरूर ने अध्यक्ष के चुनाव के लिए किया बड़ा दावा, पूरे देश के कार्यकर्ताओं का समर्थन है… https://t.co/JnonGstQQ0"
38,Isrg KB,2022-09-26 09:00:02+00:00,0,0,Isrg KB,"In Which Cases and Matters an Appeal Can Be Made to the Supreme Court of India

See: https://t.co/aaLrghGLgE… https://t.co/M2oE4dPUR7"
39,BQ Prime,2022-09-26 09:00:02+00:00,0,0,Twitter Media Studio,.@jpmorgan's Leo Puri speaks about India's supply-chain partnerships and the modified definition of import-substitu… https://t.co/qO1FvhdzQ8
40,jpc,2022-09-26 09:00:02+00:00,0,15,Twitter for Android,"RT @imtechnonitin: क्या सोचे थे 
   नही आयेंगे वापस
 जब तोड़ेंगे नही
तब तक छोड़ेंगे नहीं @vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NOPR…"
41,GP BHUJ PAM,2022-09-26 09:00:02+00:00,0,19,Twitter for Android,"RT @imtechnonitin: लोग कहते हैं कि आंदोलन, प्रदर्शनऔर जुलूस निकालने से क्या होता है?
इससे सिद्ध होता हैकि हम जीवित हैं #onlyOPS @vijaykband…"
42,Zee Telugu News,2022-09-26 09:00:02+00:00,0,0,Twitter Web App,"రేవంత్ రెడ్డికి షాకిచ్చేలా రాజకీయాలు.. తెలంగాణలో ఆ రెండు పార్టీలు కలిసిపోతాయా?
https://t.co/8q9UTMOTlO… https://t.co/NbmhNYcnXe"
43,Channel1,2022-09-26 09:00:02+00:00,0,0,Twitter Web App,"Team India surpasses arch-rivals Pakistan to win most T20I matches in a calendar year

#TeamIndia #IndianCricket… https://t.co/iPspGJAB2A"
44,Tatsuyoshi Kojima,2022-09-26 09:00:02+00:00,0,0,Paper.li,The latest Daily iPhone Apps! https://t.co/4tUMkT1Sco #startup #india
45,Real-Time WW3 from 2035,2022-09-26 09:00:02+00:00,0,0,TweetDeck,"Shahzad speaks in public, saying that, never mind the 8 million people killed in the conquest of 2034, India has ki… https://t.co/bNuXuvwO0N"
46,ORF Kolkata,2022-09-26 09:00:02+00:00,0,0,TweetDeck,Before the rise of #XiJinping—before the Beijing Olympics and the South China Sea tensions and the #China-India bor… https://t.co/C8xJBYjp6d
47,Royal College of Psychiatrists,2022-09-26 09:00:02+00:00,0,0,Twitter Media Studio,We are looking forward to welcoming two of our international speakers to the Women and Mental Health SIG Conference… https://t.co/62khkA1KaD
48,Kanai Kumar Roy,2022-09-26 09:00:02+00:00,0,128,Twitter for Android,"RT @Eternaldharma_: Bhoganandishwara Temple

located in Nandi village in Chikkaballapur district of Karnataka, India. Ornate, beautifully c…"
49,Peeter Koppel,2022-09-26 09:00:02+00:00,0,45,Twitter Web App,"RT @AndreasSteno: A true value investor would go long a basket of Turkey, Poland and Brazil versus a short in India on an index level right…"
50,Jayeshpatel16,2022-09-26 09:00:02+00:00,0,13,Twitter for Android,"RT @imtechnonitin: ढूढ़ लेना अंधेरे में ही मंज़िल अपनी दोस्तों,
क्योंकि जुगनू कभी रोशनी के मोहताज़ नहीं होते। OPS OPS 
#onlyOPS @vijaykband…"
51,GIZBOT,2022-09-26 09:00:02+00:00,0,0,TweetDeck Web App,"Nokia 2660 Flip Phone Unboxing &amp; First Impressions: Most Affordable Flip Phone In India
#Nokia #nokia2660flip… https://t.co/EeadGU8P0N"
52,Bajaj_Finserv,2022-09-26 09:00:02+00:00,0,0,Twitter Web App,"All MSMEs require financial assistance while moving up the growth curve. When it comes to MSMEs, the preferred rout… https://t.co/2o4NTHobr2"
53,Legend 1942,2022-09-26 09:00:02+00:00,0,0,Twitter Web App,"A passionate palette of ingredients born in India, brought alive with your energy. Experience Flamboyance.… https://t.co/hogst7WuHX"
54,Athul,2022-09-26 09:00:02+00:00,0,771,Twitter for iPhone,"RT @ANI: ""The condition is not very well in Afghanistan. I was imprisoned for four months. Taliban have cheated us, they butchered our hair…"
55,Rishiraj Singh Gaur,2022-09-26 09:00:01+00:00,0,10,Twitter for Android,RT @Arindam01720717: Rare interview of Netaji on Indo- japan relation to liberate india...@anujdhar @Pushpendraamu @ProfKapilKumar @Mission…
56,DNA Hindi,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"दिनेश कार्तिक और रोहित शर्मा की दोस्ती है बहुत गहरी, यकीन न हो तो यह वायरल वीडियो देख लीजिए

#INDvsAUS… https://t.co/HXgd54eXCO"
57,MarhabaQatar,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"Radisson Blu Hotel, Doha believes that small details make all the difference! Experience the beauty of India at Chi… https://t.co/kOrRxOvH2w"
58,Trident,2022-09-26 09:00:01+00:00,0,0,Twitter for iPhone,"@ESPNcricinfo Is that even a question 😝? Undoubtedly, India versus Australia"
59,Nandram,2022-09-26 09:00:01+00:00,0,70,Twitter for Android,"RT @Real_Jat_: #GodMorningMonday
Do you know that Supreme God has arrived in India. @SaintRampalJiM https://t.co/ilT7AdE47C"
60,Sã Mîm,2022-09-26 09:00:01+00:00,0,362,Twitter Web App,RT @myntra: Eyeing Indian brands? Let's see if you can list out all the made in India brands available on Myntra. A Myntra Gift Voucher of…
61,Dr Nemi Chandra Rathore,2022-09-26 09:00:01+00:00,0,1824,Twitter Web App,"RT @HappymonJacob: Next time China calls Arunachal Pradesh Southern Tibet, India should respond by calling Tibet ‘Northwestern Arunachal Pr…"
62,Randomised Weather,2022-09-26 09:00:01+00:00,0,0,RandomisedWeather,"At 14:30 Monday, 26 September 2022 (GMT +05:30) in Sri Madhopur, India it was 33.0°C and sunny. 
Wind direction: NW… https://t.co/9G4casnKT1"
63,Bishwajit Mandal,2022-09-26 09:00:01+00:00,0,117,Twitter for Android,"RT @anujdhar: After India became free, there was no inquiry into the Nilganj massacre. A jute research institute was opened at the very sit…"
64,Officers IAS Academy,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"IAS Story: पापा से कहा अफसर बनकर दिखाऊंगी और 22 साल की उम्र में बन गईं आईएएस, पढ़िए पूरी कहानी

https://t.co/GDxyjHqhok"
65,सतेन्द्र सिंह (सतेन्द्र कुमार प्रजापति),2022-09-26 09:00:01+00:00,0,7,Twitter for Android,"RT @narendramodi_in: PM @narendramodi urges people to reduce plastic pollution, promotes use of non-plastic bags #MannKiBaat
https://t.co/T…"
66,Sunny Shinde,2022-09-26 09:00:01+00:00,0,0,Twitter for Android,"@BCCI I don't understand why is India scheduled to play 3 ODI's before the T20 World Cup. Instead, they could have… https://t.co/eH3bHkQehi"
67,Malaimurasu TV,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"நடிகை ஜாக்குலின் ஃபெர்னாண்டஸ்க்கு இடைக்கால ஜாமீன்..ரூ.200 கோடிப்பே.. வெறும் ரூ.50,000 தான் பிணையா?… https://t.co/3IqY5ekhe3"
68,Ericsson India,2022-09-26 09:00:01+00:00,0,0,Twitter for Advertisers,"Upcoming !

Join us at the India Mobile Congress as we bring 5G to life through ground-breaking India 🇮🇳 focused… https://t.co/eHggHjel2N"
69,SS,2022-09-26 09:00:00+00:00,0,236,Twitter for Android,"RT @UniqueForLife_: Brits talking about the spirit of Cricket.😂

#mankading #Mankad #DeeptiSharma #Deepti #Runout #ENGvsIND #ENGWvsINDW #EN…"
70,Cuatro,2022-09-26 09:00:00+00:00,0,0,Besocy_Oficial,Un niño de 12 años denuncia ser víctima de una brutal violación por parte de cuatro amigos https://t.co/Og3kA0bxKr
71,Nitya Singh,2022-09-26 09:00:00+00:00,0,571,Twitter Web App,RT @BesuraTaansane: This is not even funny anymore - this scoundrel is convicted on multiple counts of serious fraud &amp; he wants to save Ind…
72,ORF,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#India could aim to achieve 50% #mobile use for financial transactions among #women by 2030. This would catalyse wo… https://t.co/CO93ywite9
73,jpc,2022-09-26 09:00:00+00:00,0,13,Twitter for Android,"RT @imtechnonitin: खामोशियों से कहाँ
चलती है जिन्दगी,
आवाज उठानी पड़ती है,
हक पाने के लिए।
@Vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NO…"
74,With Ajay Singh,2022-09-26 09:00:00+00:00,0,9394,Twitter for Android,"RT @RahulGandhi: The idea behind #BharatJodoYatra is crystal clear - an India that is hateful and divided, where youth don’t have jobs and…"
75,Shaikh Noorul Hasan,2022-09-26 09:00:00+00:00,0,234,Twitter for Android,"RT @AzizurTweets: The #PFI leaders have been charged under the #UAPA because they ""conspired to turn India into an Islamic nation"".

Some #…"
76,⚠💙💯 Follow BACK ☮️🌊 PEACE World USA தமிழ்,2022-09-26 09:00:00+00:00,0,0,Microsoft Power Platform,"Protests erupt in Russia's Dagestan region over Putin's mobilization orders https://t.co/KekvVgGXYS
#Biden #CNN… https://t.co/IrDvzIHBuq"
77,Research on Improving Systems of Education (RISE),2022-09-26 09:00:00+00:00,0,0,Twitter Web App,"*NEW WP* COVID-19 Learning Loss and Recovery: Panel Data Evidence from India

✍️ Abhijeet Singh, Mauricio Romero, K… https://t.co/HgTCjhiu6o"
78,Metro België,2022-09-26 09:00:00+00:00,0,0,Buffer,"""Als ik ’s morgens de deur van mijn bureau open, weet ik nooit op voorhand hoe mijn werkdag eruit zal zien maar dat… https://t.co/DLyAdaUsqt"
79,Mid Day,2022-09-26 09:00:00+00:00,0,0,TweetDeck,"#MiddayNews |

Ankita Bhandari murder: Uttarakhand CM instructs officials to ensure law and order

#AnkitaBhandari… https://t.co/PBnaMSfouG"
80,tay,2022-09-26 09:00:00+00:00,0,0,Twitter for Android,Or India for that matter https://t.co/qtMPdZjDOH
81,Frontline,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#UkraineRussiaWar | The Russians had underestimated both the will of Ukrainian nationalists to resist &amp; the willing… https://t.co/ZoPfTm6pW2
82,virat sharma,2022-09-26 08:59:59+00:00,0,29,Twitter for Android,"RT @KaynarOhad: Indian nominal GDP growth is staggering.  In 4 years it grew by 1 trillion USD !!! 🙌 

The future for #Israel #India econom…"
83,Aman,2022-09-26 08:59:59+00:00,0,33,Twitter for iPhone,"RT @RituRathaur: In secular New India, 
Gaurakshaks are called goondas while gaubhakshaks are rewarded with waqf lands, religion based sche…"
84,National Herald,2022-09-26 08:59:59+00:00,0,0,National Herald,"A gunman on Monday morning killed six people and wounded 20 others in a school in central #Russia, local police said https://t.co/Rn9oexgt9h"
85,Nikhil Shinde,2022-09-26 08:59:59+00:00,0,0,Twitter for Android,@JhulanG10 @BCCI @BCCIWomen Thank you Ma'am...Thank you for Playing for India for 20 + years..Thank you for being a… https://t.co/Vew91BQ8dP
86,Skyups Media,2022-09-26 08:59:59+00:00,0,0,Twitter for Android,#Fisker #India https://t.co/3TfKTziE5D
87,Krishna Harjule,2022-09-26 08:59:59+00:00,0,1824,Twitter for Android,"RT @HappymonJacob: Next time China calls Arunachal Pradesh Southern Tibet, India should respond by calling Tibet ‘Northwestern Arunachal Pr…"
88,Jayeshpatel16,2022-09-26 08:59:59+00:00,0,16,Twitter for Android,"RT @imtechnonitin: डरने वालों को मिलता नहीं कुछ जिंदगी में,
लड़ने वालों के कदमों में जहान होता है।
@Vijaykbandhu  @imtechnonitin @bprawatNO…"
89,Prince,2022-09-26 08:59:59+00:00,0,16,Twitter for Android,RT @ChaitraReddyoff: #Thunivu Pan India Release 🔥🔥
90,Umeshd78,2022-09-26 08:59:59+00:00,0,880,Twitter for Android,"RT @cogitoiam: Spirit of Cricket is like Secularism, something English won't follow themselves but made mandatory for brown shoulders.

Eng…"
91,sarat pradhan,2022-09-26 08:59:58+00:00,0,606,Twitter for Android,"RT @achyuta_samanta: Honoured Mr. Ary Graça, the President of the Fédération Internationale de Volleyball (FIVB) in a traditional style on…"
92,Elias ❁,2022-09-26 08:59:58+00:00,0,0,Twitter Web App,@akshar2026 @surya_14kumar @DineshKarthik @BCCI @ImRo45 Aksar  india t20 squad need you.
93,Ram Chahal,2022-09-26 08:59:58+00:00,0,338,Twitter for Android,"RT @Ankushj36367699: Please think about innocent youth...... don't play youths future please.....
Please give chance youth for development…"
94,@praveen7sam,2022-09-26 08:59:58+00:00,0,884,Twitter for Android,"RT @toi_Movies: Who has Highest Fan Following in India ? 

#ShahRukhKhan𓀠 #Pathaan | #Prabhas #Adipurush | #AkshayKumar #Ramsetu | #Varisu…"
95,Kishore B 🇮🇳,2022-09-26 08:59:58+00:00,0,1105,Twitter for Android,"RT @KapilMishra_IND: झूठे केजरीवाल ने गुजरात में सबसे बड़ा झूठ गुजरात के युवाओं से बोला 

सूरत के खचाखच भरे इस विशाल सभागार में झूठे केजरी…"
96,"मिर्ची, हाय - हाय मिर्ची",2022-09-26 08:59:58+00:00,0,176,Twitter for Android,"RT @bharatjodo: “It’s a great program to unite India!”

Read here about what Indians from all walks of life have to say about the #BharatJo…"
97,Navin Sabharwal,2022-09-26 08:59:58+00:00,0,1322,Twitter Web App,"RT @ShobhaBJP: How many of us are familiar with the architectural marvel of Brihadeshwara Temple in Thanjavur, Tamil Nadu?

Listen to actor…"
98,Gyaani,2022-09-26 08:59:58+00:00,0,0,Twitter for iPhone,"@INCIndia @SupriyaShrinate Dollar bahut se desho ki currency ke samne strong hua hai, sirf India nahi, ap sab log c… https://t.co/qv2ChsvIDx"
99,🌸rada,2022-09-26 08:59:57+00:00,0,28,Twitter for iPhone,"RT @TeamEXOIndia: [EXO XIUMIN - 'BRAND NEW’ India Group Order]

🔷Photobook: ₹1900/-
🔷 Digipack: ₹1500/-

Pre-order Form: https://t.co/uHbLJ…"
,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
0,Priyank Saxena 🏹,2022-09-26 05:08:24+00:00,0,0,Twitter for iPhone,"@canyaman421 @SayyedNoor111 @Sadhvi_prachi @beingarun28 @Sharmaharishji Bhai, first of all, this is India/Bharat/Hi… https://t.co/XtTcYpby4G"
1,sumit kumar,2022-09-26 04:47:27+00:00,0,1,Twitter for Android,RT @Vishu_Babu07: @Khanna16Rajeev @sumitku02219034 @AAPUttarPradesh Pahle  kejriwal urf hindustaan ka jaychand  ko bolo delhi ko new york b…
2,HARDEEP,2022-09-26 04:13:53+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
3,Vishu,2022-09-26 02:09:34+00:00,1,1,Twitter for Android,@Khanna16Rajeev @sumitku02219034 @AAPUttarPradesh Pahle  kejriwal urf hindustaan ka jaychand  ko bolo delhi ko new york bnwane ke liye bhai😂
4,Shubham Gupta 🇮🇳,2022-09-26 01:55:25+00:00,0,0,Twitter for Android,@InbarCohen13 Happy New Year From Hindustaan 🇮🇳💞
5,sumit kumar,2022-09-26 01:54:05+00:00,0,1,Twitter for Android,RT @Vishu_Babu07: @AAPUttarPradesh @SanjayAzadSln Ye sanjay singh urf hindustaan ka maan singh ko dekha nhi jaa rha h ki hindustaan ka rhne…
6,RAMLAL SAINI,2022-09-26 01:49:57+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
7,Anil Jangra,2022-09-26 01:36:17+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
8,AaBrA Ka DaBrA,2022-09-26 01:14:55+00:00,0,0,Twitter for Android,@zakychanbro @rishibagree @johncusack Then why he RAN away from Amethi jo Hindustaan me hi hai or congress ki jagir… https://t.co/zX3QITUNpu
9,💞Suraj Mir.🇮🇳,2022-09-25 19:15:53+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
10,MmikhoiCoinssssss,2022-09-25 19:03:12+00:00,0,126,Twitter for iPhone,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
11,Gylsim,2022-09-25 18:40:34+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
12,Elite Reja 🇮🇳,2022-09-25 18:20:51+00:00,0,0,Twitter for Android,"@nishadrajMPbjp Are kya hua Bhai saab , Aap to bura man gaye , Chalo Humne "" Bharat Mata ki Jai "" "" Hindustan Ki Ja… https://t.co/3mlv2U1UQz"
13,Hubert Daniel,2022-09-25 18:04:54+00:00,0,126,Twitter Web App,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
14,Lokesh Kumar,2022-09-25 17:49:51+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
15,Zakes 5502,2022-09-25 17:46:46+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
16,अहमद (احمد)6k🇮🇳🇮🇳🇮🇳,2022-09-25 17:42:57+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
17,VIRAT.,2022-09-25 17:38:09+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
18,ISHAAN KUMAR,2022-09-25 17:35:40+00:00,0,126,Twitter Web App,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
19,Dre Godfrey✳️,2022-09-25 17:24:54+00:00,0,126,Twitter for iPhone,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
20,Nandlal Gupta,2022-09-25 17:07:56+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
21,ATMAORADA (Meena),2022-09-25 17:06:55+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
22,Aayesha Hindu,2022-09-25 17:04:36+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
23,Amal Sharma 🇮🇳 100%FB🏵️,2022-09-25 16:59:56+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
24,RAMESH DIL SAINI,2022-09-25 16:49:28+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
25,SUNIL SINGH RAJPUT,2022-09-25 16:38:00+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
26,Hendyassen,2022-09-25 16:35:45+00:00,0,126,Twitter for iPhone,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
27,Bilal Khan,2022-09-25 16:35:02+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
28,महाकाल का चेला,2022-09-25 16:33:58+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
29,Navdeep Kumar,2022-09-25 16:29:31+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
30,Maqbool .patel,2022-09-25 16:27:50+00:00,0,126,Twitter for Android,"RT @EEMRANASMI: Na hindu, Na Sikh, Na Musalmaan,

#Zero2Hero me juda hai Sampoorna Hindustaan.

#Zero2Hero

https://t.co/3cFBCOxP66"
